अ a
अकत akat
अकत्थ akatथ
अकथ akaथ
अकथनीय akथanIya
अकथनीयता akथanIytA
अकथित akथit
अकथ्य akaथya
अकथ्यता akaथyatA
अकधक akधak
अकनना akannA
अकना aknA
अकनिष्ठ akniषठ
अकबक akbak
अकबकाना akbakAnA
अकबर akbar
अकबर akbar
अकबरी akabrI
अकर akar
अकरकरा akrakrA
अकरखना akraखnA
अकरण akraण
अकरणीय akraणIya
अकरन akran
अकरनीय akranIya
अकरब akrab
अकरा akrA
अकराथ akrAथ
अकराम akrAm
अकरार akrAr
अकराल akrAl
अकरावना akrAwnA
अकरास akrAs
अकरासू akrAsU
अकरी akrI
अकरुण akruण
अकरूर akrUr
अकर्डियन akarडiyan
अकर्डियनवादक akarडiynawAdak
अकर्ण akarण
अकर्तव्य akartawya
अकर्तव्यनिष्ठ akartawyaniषठ
अकर्तव्यनिष्ठा akartawyaniषठA
अकर्तव्यपरायण akartawyaparAyaण
अकर्तव्यपरायणता akartawyaparAyaणtA
अकर्ता akartA
अकर्तित akartit
अकर्तृक akartRk
अकर्तृत्व akartRtwa
अकर्म akarm
अकर्मक akarmak
अकर्मण्य akarmaणya
अकर्मण्यता akarmaणyatA
अकर्मी akarmI
अकर्षण akarषaण
अकल akal
अकल akal
अकलंक aklaqk
अकलंकता aklaqkatA
अकलंकित aklaqkit
अकलंकी aklaqkI
अकलबीर aklabIr
अकलमंद akalmaqd
अकला aklA
अकलात्मक aklAtmak
अकलीम aklIm
अकलुष akluष
अकलुषित akluषit
अकल्प akalp
अकल्पनाशील akalpanAशIl
अकल्पनीय akalpanIya
अकल्पित akalpit
अकल्मंद akalmaqd
अकल्मष akalmaष
अकल्यता akalyatA
अकल्याण akalyAण
अकवचित akwacit
अकवना akawnA
अकशेरुकी akशErukI
अकष्टकर akaषटakar
अकस akas
अकसना akasnA
अकसर aksar
अकसर aksar
अकसीर aksIr
अकस्मात akasmAt
अकस्मात् akasmAt
अकस्मात् akasmAt
अक़ड़ aकaD
अक़बर aक़bar
अक़ाबा aकAbA
अक़्ल aक़l
अक़्ल aकl
अक़्लमंदी aक़lamaqdI
अकांड akAqड
अकाउंट akAuqट
अकाचित akAcit
अकाज akAj
अकाजना akAjnA
अकाजी akAjI
अकाट्य akAटya
अकाट्यता akAटyatA
अकाट्यतापूर्वक akAटyatApUrwak
अकाथ akAथ
अकादमिक akAdmik
अकादमिक akAdmik
अकादमियों akAdmiyoq
अकादमी akAdmI
अकाबा akAbA
अकाम akAm
अकामतः akAmtaH
अकामा akAmA
अकामिक akAmik
अकामी akAmI
अकामोत्तेजक akAmottEjak
अकाय akAya
अकार akAr
अकारज akAraj
अकारण akAraण
अकारण akAraण
अकारथ akAraथ
अकारन akAran
अकारांत akArAqt
अकारादि akArAdi
अकारिय akAriya
अकार्बनिक akArbanik
अकार्य akArya
अकार्यकुशल akAryakuशal
अकाल akAl
अकाल akAl
अकालज akAlaj
अकालपक्व akAlpakwa
अकालपक्वता akAlpakwatA
अकालपुष्पित akAlpuषpit
अकालप्रौढ़ akAlaprऔT
अकालप्रौढ़ता akAlaprऔTtA
अकालविकसित akAlwiksit
अकालिक akAlik
अकाली akAlI
अकाली akAlI
अकाव akAwa
अकाश akAश
अकास akAs
अकासकृत akAskRt
अकासबानी akAsbAnI
अकासबेल akAsbEl
अकासी akAsI
अकि aki
अकिंचन akiqcan
अकिंचनता akiqcantA
अकिंचित्कर akiqcitkar
अकिण्वित akiणwit
अकित्तौ akittऔ
अकिर्तित akirtit
अकिल akil
अकिलदाढ़ akildAT
अकिलीज़ akilIz
अकिशिआ akiशiA
अकीक akIk
अकीनी akInI
अकीयाई akIyAI
अकीयावासी akIyAwAsI
अकीरति akIrti
अकीर्ति akIrti
अकीर्तिकर akIrtikar
अकीर्तित akIrtit
अकीलिया akIliyA
अकुंठ akuqठ
अकुंठिल akuqठil
अकुताना akutAnA
अकुरित akurit
अकुल akul
अकुला akulA
अकुलाना akulAnA
अकुलाहट akulAhaट
अकुलिनी akulinI
अकुली akulI
अकुलीन akulIn
अकुशल akuशal
अकुशलता akuशaltA
अकूट akUट
अकूत akUt
अकूपार akUpAr
अकूर akUr
अकूल akUl
अकूहल akUhal
अकृच्छ्र akRcCr
अकृत akRt
अकृतज्ञ akRtajञ
अकृतज्ञता akRtajञatA
अकृतज्ञतापूर्वक akRtajञatApUrwak
अकृतात्मा akRtAtmA
अकृति akRti
अकृती akRtI
अकृतीकरण akRtIkraण
अकृत्य akRtya
अकृत्यकारी akRtyakArI
अकृत्रिम akRtrim
अकृत्रिमता akRtrimtA
अकृत्स्न akRtsn
अकृपा akRpA
अकृरित akRrit
अकृषिक akRषik
अकृषित akRषit
अकृष्ट akRषट
अकृष्टपूर्व akRषटapUrwa
अकृष्ण akRषण
अकृष्य akRषya
अकेंथोलाइसिस akEqथolAisis
अकेंथोसाइटोसिस akEqथosAiटosis
अकेंथोसिस akEqथosis
अकेंथोसिसग्रस्त akEqथosisagrast
अकेके akEkE
अकेडिया akEडiyA
अकेडियाई akEडiyAI
अकेतन akEtan
अकेन्द्री akEndrI
अकेल akEl
अकेला akElA
अकेला akElA
अकेलापन akElApan
अकेली akElI
अकेले akElE
अकेले akElE
अकेशिया akEशiyA
अकेहरा akEhrA
अकैथेक्सिस akऐथEksis
अकैपुल्को akऐpulko
अकैप्निया akऐpniyA
अकैया akऐyA
अकोट akoट
अकोत्तर akottar
अकोमल akomal
अकोला akolA
अकोविद akowid
अकोशिकीय akoशikIya
अकोसना akosnA
अकौआ akऔA
अकौटा akऔटA
अकौन्ड्राइट akऔnडrAiट
अकौशल akऔशal
अक्क akk
अक्कड़ akkaD
अक्कड़ी akkDI
अक्का akkA
अक्काद akkAd
अक्खड़ akखaD
अक्खड़ता akखaDtA
अक्खड़तापूर्ण akखaDatApUrण
अक्खड़पन akखaDpan
अक्खड़पनअ akखaDapnaa
अक्खर akखar
अक्टूबर akटUbar
अक्टूबर akटUbar
अक्टूबरफ़ेस्ट akटUbrafEsट
अक्त akt
अक्तुबर aktubar
अक्तूबर aktUbar
अक्तूबर aktUbar
अक्रम akram
अक्रमतः akramtaH
अक्रमातिशयोक्ति akramAtiशyokti
अक्रमिक akramik
अक्रमिकरण akramikraण
अक्रांत akrAqt
अक्रांता akrAqtA
अक्रिय akriya
अक्रिया akriyA
अक्रियावाद akriyAwAd
अक्रियाशील akriyAशIl
अक्रिस्टलित akrisटalit
अक्री akrI
अक्रूर akrUr
अक्रूर akrUr
अक्रोट akroट
अक्ल akl
अक्लम aklam
अक्लमंद aklamaqd
अक्लमंद aklamaqd
अक्लमंदी aklamaqdI
अक्लांत aklAqt
अक्लोम aklom
अक्वेरियम akwEriyam
अक्ष akष
अक्षंतव्य akषaqtawya
अक्षक akषak
अक्षकूट akषakUट
अक्षज akषaj
अक्षत akषat
अक्षतयोनि akषatayoni
अक्षता akषatA
अक्षतिग्रस्त akषatigrast
अक्षधुरी akषaधurI
अक्षपद akषapad
अक्षम akषam
अक्षमता akषamtA
अक्षमताग्रस्त akषamatAgrast
अक्षमतापूर्वक akषamatApUrwak
अक्षमाशील akषamAशIl
अक्षमित akषamit
अक्षम्य akषamya
अक्षय akषaya
अक्षय akषaya
अक्षयकुमार akषayakumAr
अक्षयतीज akषayatIj
अक्षयतृतीया akषayatRtIyA
अक्षया akषayA
अक्षयिणी akषayiणI
अक्षयी akषayI
अक्षय्य akषayya
अक्षर akषar
अक्षर akषar
अक्षरच्छंद akषaracCaqd
अक्षरबद्ध akषarbadध
अक्षरम akषaram
अक्षरयोजन akषarayojan
अक्षरलोप akषaralop
अक्षरशः akषaraशaH
अक्षरशः akषaraशaH
अक्षरशैली akषaraशऐlI
अक्षरा akषarA
अक्षराक्षर akषarAkषar
अक्षरारंभ akषarAraqB
अक्षरार्थ akषarArथ
अक्षरी akषarI
अक्षरोँ akषaroM
अक्षरों akषaroq
अक्षरों akषaroq
अक्षरौटी akषarऔटI
अक्षर्य akषarya
अक्षांक्ष akषAqkष
अक्षांश akषAqश
अक्षार akषAr
अक्षावाप akषAwAp
अक्षि akषi
अक्षिक akषik
अक्षिकूप akषikUp
अक्षित akषit
अक्षिति akषiti
अक्षिदंत akषidaqt
अक्षिसंकोच akषisaqkoc
अक्षी akषI
अक्षीण akषIण
अक्षीय akषIya
अक्षीव akषIwa
अक्षुण akषuण
अक्षुण्ण akषuणण
अक्षुण्य akषuणya
अक्षुधाकारक akषuधAkArak
अक्षुध्य akषuधya
अक्षुब्ध akषubध
अक्षेत्र akषEtr
अक्षेत्री akषEtrI
अक्षेम akषEm
अक्षोट akषoट
अक्षोनि akषoni
अक्षोभ akषoB
अक्षोभ्य akषoBya
अक्षौहिणी akषऔhiणI
अक्षौहिणी akषऔhiणI
अक्स aks
अक्सर aksar
अक्सर aksar
अक्सी aksI
अक्सीर aksIr
अकड़ akaड़
अकड़ akaD
अकड़कर akaDkar
अकड़ना akaDnA
अकड़ू akDU
अख aख
अखंग aखaqg
अखंज aखaqj
अखंड aखaqड
अखंडता aखaqडatA
अखंडन aखaqडan
अखंडनीय aखaqडanIya
अखंडल aखaqडal
अखंडित aखaqडit
अखंड् aखaqड
अखगरिया aखgariyA
अखड़ा aखDA
अखण्ड aखaणड
अखण्ड aखaणड
अखण्डनीयता aखaणडanIytA
अखती aखtI
अखतीज aखtIj
अखनी aखnI
अखबार aखbAr
अखबार aखbAr
अखबारअ aखbAraa
अखबारवाला aखbArwAlA
अखबारी aखbArI
अखबारों aखbAroq
अखय aखya
अखयतीज aखyatIj
अखर aखar
अखर aखar
अखरताली aखratAlI
अखरना aखarnA
अखरा aखrA
अखरावट aखrAwaट
अखरावटी aखrAwटI
अखरी aखrI
अखरोट aखroट
अखरोट aखroट
अखरौटी aखrऔटI
अखर्व aखarwa
अखसता aखastA
अख़बार aख़bAr
अख़बार aKbAr
अख़बारों aख़bAroq
अखाँगना aखAMgnA
अखां aखAq
अखाड़ aखAD
अखाड़ा aखADA
अखाड़िया aखADiyA
अखाडा aखAडA
अखात aखAt
अखाद aखAd
अखाद्य aखAdya
अखारना aखArnA
अखारा aखArA
अखाड़ा aखADA
अखित aखit
अखियात aखiyAt
अखिल aखil
अखिलात्मा aखilAtmA
अखिलेश aखilEश
अखिलेश्वर aखilEशwar
अखीन aखIn
अखीर aखIr
अखीरी aखIrI
अखुटना aखuटnA
अखुटित aखuटit
अखूट aखUट
अखेट aखEट
अखेटक aखEटak
अखेलत aखElat
अखै aखऐ
अखैतीज aखऐtIj
अखैबट aखऐbaट
अखैबर aखऐbar
अखैवर aखऐwar
अखोटा aखoटA
अखोर aखor
अखोला aखolA
अखोह aखoh
अखौटा aखऔटA
अख्खाह aखखAh
अख्तर aखtar
अख्तावर aखtAwar
अख्तियार aखtiyAr
अख्यात aखyAt
अख्यान aखyAn
अख्यायिका aखyAyikA
अग ag
अगंड agaqड
अगंता agaqtA
अगई agaI
अगच्छ agacC
अगज agaj
अगजग agjag
अगजा agjA
अगट agaट
अगटना agaटnA
अगड़ agaD
अगड़म agDam
अगड़वत्ता agaDwattA
